Item,Price (USD),Link
Raspberry Pi Pico,10.27$,https://mostelectronic.com/shop/arduino-development-boards/raspberry-pi/raspberry-pi-pico/
Diodes,0.63$,https://mostelectronic.com/shop/components/diodes/zener-diode-bzx79-c5v1-6-2-volt/
Keyswitches,32.88$,https://www.amazon.eg/gp/product/B09QGQVQYD/ref=ewc_pr_img_1?smid=A1ZVRGNO5AYLOV&psc=1
OLED Display 128x64 0.9 Inches,3.29$,https://mostelectronic.com/shop/displays-lcd-7-seg-led/lcd-modules-displays-lcd-7-seg-led/0-96%e2%80%b3-oled-4pin-lcd-led-display-module-i2c-iic-communicate-white-128x64/
Keycaps,51.36$,https://www.amazon.eg/%D9%85%D8%AC%D9%85%D9%88%D8%B9%D8%A9-%D9%85%D9%81%D8%A7%D8%AA%D9%8A%D8%AD-%D9%84%D8%AA%D8%B1%D9%82%D9%8A%D8%A9-%D8%A7%D9%84%D9%83%D9%8A%D8%A8%D9%88%D8%B1%D8%AF-%D8%B1%D9%8A%D8%B2%D8%B1/dp/B098FDBDVV/ref=sr_1_11?crid=11CCRXD3XXHY0&dib=eyJ2IjoiMSJ9.IoSyuomUT9a7uIV4152iCVzPVT-zBCeDvLutUC3rhEVQzvCsEZIthqVWEuiPARKbtS5ut2TM7iPhd_U87qdi4PzGNpmQHtQFhRYy3oU9c07H-WlTUexws5OHtur0l-TdohIn__wOwa42QfTezMwcD-IuxeHut4b0B8fQxsNZQJ_AQY1MZAU0Nm6jsHb6JY6rSpQRaaREp_VyYzbF-AIt3CgzjcJQOXzezvodjy0iSN_U9VfDGDOPdvEbvdyR8AEuBfEVLV-TtYq3DYMmx9cC2DfRdK3YC-VGVhABAfVcvr4._IYFexypIJVyjEsEs4GLrEIhP7bQGJnTHxSv417fOG0&dib_tag=se&keywords=%D8%A7%D8%BA%D8%B7%D9%8A%D8%A9%2B%D9%85%D9%81%D8%A7%D8%AA%D9%8A%D8%AD%2B%D9%83%D9%8A%D8%A8%D9%88%D8%B1%D8%AF&qid=1753749297&sprefix=%D8%A7%D8%BA%D8%B7%D9%8A%D8%A9%2B%D9%85%D9%81%D8%A7%D8%AA%D9%8A%D8%AD%2B%D9%83%D9%8A%D8%A8%D9%88%D8%B1%D8%AF%2Caps%2C135&sr=8-11&th=1
Solderig Wire,1.54$,https://mostelectronic.com/shop/tools/soldering-desoldering/solder-wire-singapore-25g-0-6mm-70-30-singapore/
Soldering Iron Tips,1.34$,https://mostelectronic.com/shop/tools/soldering-desoldering/soldering-iron-station-tips-5pcs/
"""Most Electronics""  shop shipping fees",1.54$,Raspberry Pi Pico + Diodes + OLED Display + Soldering Wire + Soldering Iron Tips
"""Amazon"" shipping fees",Free,Keyswitches + Keycaps
"""JLCPCB"" Printing with shipping fees",18.20$,PCB printing
Glue,2.88$,https://www.amazon.eg/%D9%85%D8%AA%D8%B9%D8%AF%D8%AF-%D8%A7%D9%84%D8%A7%D8%B3%D8%AA%D8%AE%D8%AF%D8%A7%D9%85%D8%A7%D8%AA-%D9%85%D9%88%D8%AF%D9%8A%D9%84-%D8%A7%D9%83%D9%81%D9%8A%D9%83%D8%B3%D8%8C-200/dp/B07MCQWCQV/ref=sr_1_2_sspa?adgrpid=127622644738&dib=eyJ2IjoiMSJ9.Rf2A_6F5nfZcD1RmeMcJpFQSRa30viTUIw-x_MyzMeJ1AiD2L1bPRZDLmLnoLul1KYhFy_QSjzfgK-treEua1nli70iMJfrofePkCMu0A3bZbqZghVaXefjHYOZD614siKel_O5CUiHmfKKwenZMTNJF8zwEuxDhdqLnKAa5aG3003BbwqbkiEX-bVfT4IPh4PeIABdhXn1ufM_4d2KFKYwFknr8jXtUKS1VHAnI68jTP1qhWldfy3qOXI_vLdi32eYgrURm7qCcVfkfI7C9uzjB9BGFt9hC48oXCFNjeI0.VBGY9t3wS5zmli7nohzKlfATAdpz18BlYceCK70TaR8&dib_tag=se&hvadid=669800591195&hvdev=c&hvlocphy=9195686&hvnetw=g&hvqmt=e&hvrand=10375869494463082146&hvtargid=kwd-299904148450&hydadcr=12482_2432580&keywords=plastic+glue&mcid=4f501f1c5bf83f238f209bec23c2ac0c&qid=1753884036&sr=8-2-spons&sp_csd=d2lkZ2V0TmFtZT1zcF9hdGY&psc=1
"""Printfy3d"" Printing with shipping fee",28.61$,Case Printing
Total,142.53$,
