Designator,Mid X,Mid Y,Rotation,Layer
D1,43.18,-37.32,90.0,bottom
D10,214.63,-37.32,90.0,bottom
D100,142.8825,-47.63,0.0,top
D101,161.9325,-47.63,0.0,top
D102,180.9825,-47.63,0.0,top
D103,200.0325,-47.63,0.0,top
D104,219.0825,-47.63,0.0,top
D105,238.1325,-47.63,0.0,top
D106,257.1825,-47.63,0.0,top
D107,276.2325,-47.63,0.0,top
D108,300.045,-47.63,0.0,top
D109,295.2825,-28.58,0.0,top
D11,233.68,-37.32,90.0,bottom
D110,266.7375,-28.5,0.0,top
D111,247.6575,-28.58,0.0,top
D112,228.6075,-28.58,0.0,top
D113,209.5575,-28.58,0.0,top
D114,190.5075,-28.58,0.0,top
D115,171.4575,-28.58,0.0,top
D116,152.4075,-28.58,0.0,top
D117,133.3575,-28.58,0.0,top
D118,114.3075,-28.58,0.0,top
D119,95.2575,-28.58,0.0,top
D12,252.73,-37.32,90.0,bottom
D120,76.2075,-28.58,0.0,top
D121,57.1575,-28.58,0.0,top
D122,38.1075,-28.58,0.0,top
D13,271.78,-37.32,90.0,bottom
D14,300.355,-37.32,90.0,bottom
D15,47.9425,-56.37,90.0,bottom
D16,71.755,-56.37,90.0,bottom
D17,90.805,-56.37,90.0,bottom
D18,109.855,-56.37,90.0,bottom
D19,128.905,-56.37,90.0,bottom
D2,62.23,-37.32,90.0,bottom
D20,147.955,-56.37,90.0,bottom
D21,167.005,-56.37,90.0,bottom
D22,186.055,-56.37,90.0,bottom
D23,205.105,-56.37,90.0,bottom
D24,224.155,-56.37,90.0,bottom
D25,243.205,-56.37,90.0,bottom
D26,262.255,-56.37,90.0,bottom
D27,281.305,-56.37,90.0,bottom
D28,305.1175,-56.37,90.0,bottom
D29,50.32375,-75.42,90.0,bottom
D3,81.28,-37.32,90.0,bottom
D30,76.5175,-75.42,90.0,bottom
D31,95.5675,-75.42,90.0,bottom
D32,114.6175,-75.42,90.0,bottom
D33,133.6675,-75.42,90.0,bottom
D34,152.7175,-75.42,90.0,bottom
D35,171.7675,-75.42,90.0,bottom
D36,190.8175,-75.42,90.0,bottom
D37,209.8675,-75.42,90.0,bottom
D38,228.9175,-75.42,90.0,bottom
D39,247.9675,-75.42,90.0,bottom
D4,100.33,-37.32,90.0,bottom
D40,267.0175,-75.42,90.0,bottom
D41,297.97375,-75.42,90.0,bottom
D42,55.08625,-94.47,90.0,bottom
D43,86.0425,-94.47,90.0,bottom
D44,105.0925,-94.47,90.0,bottom
D45,124.1425,-94.47,90.0,bottom
D46,143.1925,-94.47,90.0,bottom
D47,162.2425,-94.47,90.0,bottom
D48,302.42625,-104.78,0.0,top
D49,181.2925,-94.47,90.0,bottom
D5,119.38,-37.32,90.0,bottom
D50,200.3425,-94.47,90.0,bottom
D51,219.3925,-94.47,90.0,bottom
D52,278.61375,-104.78,0.0,top
D53,238.4425,-94.47,90.0,bottom
D54,257.4925,-94.47,90.0,bottom
D55,293.21125,-94.47,90.0,bottom
D56,254.80125,-104.78,0.0,top
D57,45.56125,-113.52,90.0,bottom
D58,69.37375,-113.52,90.0,bottom
D59,93.18625,-113.52,90.0,bottom
D6,138.43,-37.32,90.0,bottom
D60,230.98875,-104.78,0.0,top
D61,164.62375,-113.52,90.0,bottom
D62,236.06125,-113.52,90.0,bottom
D63,259.87375,-113.52,90.0,bottom
D64,159.55125,-104.78,0.0,top
D65,283.68625,-113.52,90.0,bottom
D66,307.49875,-113.52,90.0,bottom
D67,88.11375,-104.78,0.0,top
D68,64.30125,-104.78,0.0,top
D69,40.48875,-104.78,0.0,top
D7,157.48,-37.32,90.0,bottom
D70,50.01375,-85.73,0.0,top
D71,80.97,-85.73,0.0,top
D72,100.02,-85.73,0.0,top
D73,119.07,-85.73,0.0,top
D74,138.12,-85.73,0.0,top
D75,157.17,-85.73,0.0,top
D76,176.22,-85.73,0.0,top
D77,195.27,-85.73,0.0,top
D78,214.32,-85.73,0.0,top
D79,233.37,-85.73,0.0,top
D8,176.53,-37.32,90.0,bottom
D80,252.42,-85.73,0.0,top
D81,288.13875,-85.73,0.0,top
D82,292.90125,-66.68,0.0,top
D83,261.945,-66.68,0.0,top
D84,242.895,-66.68,0.0,top
D85,223.845,-66.68,0.0,top
